policy,family,seed,TP,TN,FP,FN,precision,recall,f1,auprc,cumulative_reward,cumulative_regret
CS_BootstrappedUCB,Bandit (partial feedback),43,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.755138411150066,-3469.7000000000003,2878.9900000000002
CS_BootstrappedUCB,Bandit (partial feedback),44,82,85327,8,26,0.9111111111111111,0.7592592592592593,0.8282828282828282,0.7522977317859112,-3764.29,3173.58
CS_BootstrappedUCB,Bandit (partial feedback),45,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7548340478130987,-3469.7000000000003,2878.9900000000002
CS_BootstrappedUCB,Bandit (partial feedback),46,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7570420423808666,-3469.7000000000003,2878.9900000000002
CS_BootstrappedTS,Bandit (partial feedback),42,80,85300,35,28,0.6956521739130435,0.7407407407407407,0.7174887892376681,0.7368520026613431,-4692.94,4102.23
CS_BootstrappedTS,Bandit (partial feedback),43,80,85326,9,28,0.898876404494382,0.7407407407407407,0.8121827411167513,0.7562834533921804,-4121.76,3531.05
CS_BootstrappedTS,Bandit (partial feedback),44,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7583735333699129,-3469.7000000000003,2878.9900000000002
CS_BootstrappedTS,Bandit (partial feedback),45,83,85312,23,25,0.7830188679245284,0.7685185185185185,0.7757009345794392,0.7539305466114318,-3599.7000000000003,3008.9900000000002
CS_BootstrappedTS,Bandit (partial feedback),46,81,85326,9,27,0.9,0.75,0.8181818181818182,0.7584938384855358,-3765.29,3174.58
LogisticRegression,Supervised (frozen),,44,71801,13534,64,0.00324053616143762,0.4074074074074074,0.006429928393979249,0.7470716926962336,-136071.69999999998,135480.99
RandomForest,Supervised (frozen),42,40,84909,426,68,0.08583690987124463,0.37037037037037035,0.13937282229965156,0.8265550880002713,-5190.9800000000005,4600.27
RandomForest,Supervised (frozen),43,38,84893,442,70,0.07916666666666666,0.35185185185185186,0.1292517006802721,0.8212756300304096,-6438.670000000001,5847.960000000001
RandomForest,Supervised (frozen),44,39,84912,423,69,0.08441558441558442,0.3611111111111111,0.1368421052631579,0.8224522167317802,-6247.97,5657.26
RandomForest,Supervised (frozen),45,39,84883,452,69,0.07942973523421588,0.3611111111111111,0.1302170283806344,0.8227703166768275,-6537.97,5947.26
RandomForest,Supervised (frozen),46,40,84873,462,68,0.0796812749003984,0.37037037037037035,0.13114754098360656,0.8182096793056296,-5550.9800000000005,4960.27
XGBoost,Supervised (frozen),,37,85263,72,71,0.3394495412844037,0.3425925925925926,0.34101382488479265,0.7990362537074601,-3313.1800000000003,2722.4700000000003
