C_a,policy,n_seeds,TP_mean,TP_std,TN_mean,TN_std,FP_mean,FP_std,FN_mean,FN_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auprc_mean,auprc_std,cumulative_reward_mean,cumulative_reward_std,cumulative_regret_mean,cumulative_regret_std
1.0,LogisticRegression,1,66.0,,47299.0,,38036.0,,42.0,,0.001732192535824891,,0.6111111111111112,,0.003454593038471604,,0.7470716926962336,,-38133.55,,38040.96000000001,
1.0,RandomForest,5,53.6,0.5477225575051652,82687.0,92.78469701410896,2648.0,92.78469701410896,54.4,0.5477225575051652,0.01986348479718694,0.0008605419520487833,0.4962962962962963,0.005071505162084856,0.038196808153761086,0.0016043704792905477,0.8222525861489837,0.0030049525142272376,-3593.936,681.0068714998401,3501.346,681.0068714998401
1.0,XGBoost,1,51.0,,84970.0,,365.0,,57.0,,0.12259615384615384,,0.4722222222222222,,0.1946564885496183,,0.7990362537074601,,-2578.03,,2485.44,
5.0,CS_EpsilonGreedy,5,80.0,2.5495097567963922,80968.2,113.79015774661714,4366.8,113.79015774661708,28.0,2.5495097567963922,0.017999426996085106,0.0007146595895897632,0.7407407407407407,0.023606571822188824,0.035144441949837665,0.001383202873205581,0.742677705075842,0.022197384510934164,-25367.23,1035.5715426999723,25032.399999999998,1035.5715426999723
5.0,CS_LinUCB,5,83.0,0.0,85312.0,0.0,23.0,0.0,25.0,0.0,0.7830188679245284,0.0,0.7685185185185185,0.0,0.7757009345794392,0.0,0.7568110267938989,6.682683557717848e-05,-3069.7000000000003,0.0,2734.8700000000003,0.0
5.0,CS_LinTS,5,83.0,0.0,85315.6,2.9664793948396757,19.4,2.9664793948382653,25.0,0.0,0.8110886506440401,0.02338010133524381,0.7685185185185185,0.0,0.7890985542290752,0.01109759740869546,0.7596986278967057,0.0006250005572153549,-3051.7000000000003,14.832396974191335,2716.8700000000003,14.832396974191335
5.0,CS_BootstrappedUCB,5,82.8,0.44721359549995915,85323.0,3.464101615136967,12.0,3.464101615137755,25.2,0.44721359549995815,0.8743083917176893,0.03062983785765805,0.7666666666666666,0.0041408666249995625,0.8167503003246122,0.01395651457953706,0.7544770451045062,0.005514800861828016,-3078.618,143.97066930454955,2743.7880000000005,143.97066930454955
5.0,CS_BootstrappedTS,5,81.6,1.6733200530681527,85276.6,56.53582934741374,58.4,56.535829347414726,26.4,1.6733200530681511,0.6527928547011053,0.2253716242221007,0.7555555555555555,0.015493704195075416,0.6840311747336509,0.14699977376609627,0.7475680499374233,0.023260019426118876,-3419.6020000000003,535.7526901659008,3084.772,535.7526901659008
5.0,LM_EpsilonGreedy,5,69.6,7.368853370776215,81064.4,90.33437883773867,4270.6,90.33437883773821,38.4,7.3688533707762165,0.01603838261815583,0.0017136438038322316,0.6444444444444445,0.06823012380348349,0.03129758025453838,0.0033414934013099307,0.533356393574278,0.02697207319565077,-27775.964,1692.8568220112402,27441.134,1692.8568220112402
5.0,LM_LinUCB,5,79.2,3.033150177620621,85316.0,1.581138830082464,19.0,1.5811388300841893,28.8,3.03315017762062,0.8067043517011548,0.009896046006418503,0.7333333333333333,0.02808472386685761,0.7679783217634879,0.014903770870154221,0.7649265616439244,0.015186480234983719,-3449.2340000000004,393.06213144997855,3114.4040000000005,393.06213144997855
