C_a,policy,seed,TP,TN,FP,FN,precision,recall,f1,auprc,cumulative_reward,cumulative_regret
5.0,CS_LinTS,45,83,85317,18,25,0.8217821782178217,0.7685185185185185,0.7942583732057416,0.7604996045194824,-3044.7000000000003,2709.8700000000003
5.0,CS_LinTS,46,83,85312,23,25,0.7830188679245284,0.7685185185185185,0.7757009345794392,0.7590375765870054,-3069.7000000000003,2734.8700000000003
5.0,CS_BootstrappedUCB,42,83,85317,18,25,0.8217821782178217,0.7685185185185185,0.7942583732057416,0.750773640196691,-3044.7000000000003,2709.8700000000003
5.0,CS_BootstrappedUCB,43,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.757212836885023,-3004.7000000000003,2669.8700000000003
5.0,CS_BootstrappedUCB,44,82,85323,12,26,0.8723404255319149,0.7592592592592593,0.8118811881188118,0.7467493196404397,-3334.29,2999.46
5.0,CS_BootstrappedUCB,45,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7576143111310929,-3004.7000000000003,2669.8700000000003
5.0,CS_BootstrappedUCB,46,83,85325,10,25,0.8924731182795699,0.7685185185185185,0.8258706467661692,0.7600351176692848,-3004.7000000000003,2669.8700000000003
5.0,CS_BootstrappedTS,42,79,85193,142,29,0.3574660633484163,0.7314814814814815,0.48024316109422494,0.706093230264483,-4218.86,3884.0299999999997
5.0,CS_BootstrappedTS,43,82,85320,15,26,0.845360824742268,0.7592592592592593,0.8,0.7578377201231246,-3024.7000000000003,2689.8700000000003
5.0,CS_BootstrappedTS,44,83,85308,27,25,0.7545454545454545,0.7685185185185185,0.7614678899082569,0.759240593629553,-3089.7000000000003,2754.8700000000003
5.0,CS_BootstrappedTS,45,81,85243,92,27,0.4682080924855491,0.75,0.5765124555160142,0.7549387734301716,-3730.05,3395.2200000000003
5.0,CS_BootstrappedTS,46,83,85319,16,25,0.8383838383838383,0.7685185185185185,0.8019323671497585,0.7597299322397846,-3034.7000000000003,2699.8700000000003
5.0,LM_EpsilonGreedy,42,68,81092,4243,40,0.01577360241243331,0.6296296296296297,0.030776193708983934,0.5437671699724378,-29969.67,29634.839999999997
5.0,LM_EpsilonGreedy,43,75,80954,4381,33,0.016831238779174147,0.6944444444444444,0.03286590709903593,0.49076724263037547,-27910.92,27576.089999999997
5.0,LM_EpsilonGreedy,44,68,80990,4345,40,0.015409018808067075,0.6296296296296297,0.0300818403008184,0.5375801065232355,-27520.7,27185.87
5.0,LM_EpsilonGreedy,45,78,81173,4162,30,0.01839622641509434,0.7222222222222222,0.035878564857405704,0.5643510623398821,-25253.02,24918.19
5.0,LM_EpsilonGreedy,46,59,81113,4222,49,0.013781826676010278,0.5462962962962963,0.02688539530644794,0.5303163864054591,-28225.51,27890.679999999997
5.0,LM_LinUCB,42,81,85317,18,27,0.8181818181818182,0.75,0.7826086956521738,0.7732316573031277,-3152.48,2817.65
5.0,LM_LinUCB,43,75,85318,17,33,0.8152173913043478,0.6944444444444444,0.7499999999999999,0.7398554740056542,-3874.7700000000004,3539.9400000000005
5.0,LM_LinUCB,44,81,85314,21,27,0.7941176470588235,0.75,0.7714285714285715,0.7735736999357431,-3167.48,2832.65
5.0,LM_LinUCB,45,82,85315,20,26,0.803921568627451,0.7592592592592593,0.780952380952381,0.7766427431917476,-3166.7200000000003,2831.8900000000003
5.0,LM_LinUCB,46,77,85316,19,31,0.8020833333333334,0.7129629629629629,0.7549019607843137,0.7613292337833492,-3884.7200000000007,3549.890000000001
5.0,LM_LinTS,42,75,85327,8,33,0.9036144578313253,0.6944444444444444,0.7853403141361257,0.741183434143485,-4660.69,4325.86
5.0,LM_LinTS,43,61,85327,8,47,0.8840579710144928,0.5648148148148148,0.6892655367231638,0.6809056943193742,-9712.12,9377.29
5.0,LM_LinTS,44,82,85319,16,26,0.8367346938775511,0.7592592592592593,0.796116504854369,0.7807195796861393,-3306.0900000000006,2971.2600000000007
5.0,LM_LinTS,45,81,85320,15,27,0.84375,0.75,0.7941176470588235,0.7897659871048368,-3334.8400000000006,3000.0100000000007
5.0,LM_LinTS,46,55,85327,8,53,0.873015873015873,0.5092592592592593,0.6432748538011696,0.7145231671483784,-9794.02,9459.19
5.0,LM_BootstrappedUCB,42,72,85330,5,36,0.935064935064935,0.6666666666666666,0.7783783783783784,0.6596647699273251,-5383.7300000000005,5048.900000000001
5.0,LM_BootstrappedUCB,43,74,85327,8,34,0.9024390243902439,0.6851851851851852,0.7789473684210526,0.6705432004938066,-5062.96,4728.13
5.0,LM_BootstrappedUCB,44,75,85330,5,33,0.9375,0.6944444444444444,0.7978723404255319,0.6859456868713617,-5217.750000000001,4882.920000000001
5.0,LM_BootstrappedUCB,45,69,85330,5,39,0.9324324324324325,0.6388888888888888,0.7582417582417582,0.6347563825781797,-7159.86,6825.03
5.0,LM_BootstrappedUCB,46,73,85333,2,35,0.9733333333333334,0.6759259259259259,0.7978142076502733,0.6703086570014354,-6039.14,5704.31
5.0,LM_BootstrappedTS,42,72,85330,5,36,0.935064935064935,0.6666666666666666,0.7783783783783784,0.6464169507475532,-3829.82,3494.9900000000002
